Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guyana,112.7713358,111.6416667,112.575,114.7191667,116.1908333,118.6160043,119.794261,125.8233333,133.5175,137.2841667
Haiti,69.88064084,74.58489426,83.16432558,92.04634934,103.5350326,122.9,150.9166667,176.3333333,236.2583333,323.2333333
Honduras,276.0333333,284.75,292.5083333,304.0166667,317.2333333,331.0833333,342.5666667,357.9166667,390.45,416.4666667
Hungary,135.1833333,135.1,135.6333333,138.8183333,142.775,147.5416667,152.45,160.2416667,183.65,215.1
Iceland,149.1621,151.598,154.1705083,156.88455,161.0936333,165.94895,170.67505,178.2602583,193.0714667,209.938775
India,117.35,123.1083333,129.2,133.5,138.7583333,143.9333333,153.4666667,161.3416667,172.15,181.875
Indonesia,113.2175,120.4216667,124.6675,129.4158333,133.555,137.6025,140.2458,142.4338167,148.4295167,153.877075
"Iran, Islamic Rep. of",22.75780342,25.59904271,27.45380227,29.66243991,35.00586693,48.97577922,63.95949721,91.71089385,131.5945531,190.2583333
Iraq,,103.5570164,104.1333333,104.325,104.7083333,104.5,105.1,111.45,117.0166667,122.1166667
Ireland,83.09166667,82.81666667,82.83333333,83.13333333,83.525,84.30833333,84.03333333,86,92.73333333,98.575
Israel,94.24166667,93.675,93.15833333,93.4,94.14166667,94.94166667,94.35833333,95.78333333,99.99166667,104.2166667
Italy,99.93022417,99.9689875,99.875,101.1,102.25,102.875,102.7333333,104.6583333,113.2416667,119.6083333
Jamaica,83.75,86.84166667,88.88333333,92.775,96.24166667,100,105.2267778,111.3959948,122.925,130.8833333
Japan,97.45,98.225,98.1,98.575,99.55,100.0166667,99.99166667,99.75833333,102.25,105.5916667
Jordan,94.20163084,93.37562256,92.64875827,95.72830522,100,100.761514,101.0973465,102.4582116,106.7913288,109.0177891
"Kazakhstan, Rep. of",43.05962518,45.93527003,52.53207745,56.44186306,59.92074899,63.11665868,67.35693336,72.77342185,83.70971304,96.03595993
Kenya,76.4869744,81.52146507,86.65507516,93.5923769,97.98167825,103.1155635,108.6891268,115.3277891,124.1617394,133.6866785
Kiribati,83.30195922,83.77845954,85.38475308,85.68831371,86.17162193,84.60926152,86.76954372,88.55145762,93.28537817,101.9451286
"Korea, Rep. of",94.19558333,94.86091667,95.78266667,97.645,99.08608333,99.46558333,100,102.4983333,107.715,111.59
"Kosovo, Rep. of",100.5398279,100,100.2731694,101.7654691,102.8378713,105.5898046,105.7991131,109.3472888,122.010263,128.0428462
Kuwait,103.1764043,106.5520284,109.9599861,112.3481334,112.9583333,114.1916667,116.5916667,120.5833333,125.3833333,129.95
Kyrgyz Rep.,229.6452018,244.5797604,245.5307802,253.3271433,257.2351235,260.1511989,276.6068626,309.5370197,352.6335782,390.5532439
Lao,98.45502032,99.71263972,101.3049631,102.1412139,104.2252957,107.6882425,113.1847286,117.4355173,144.394276,189.4888021
Latvia,99.82606,99.99999917,100.1406325,103.0751167,105.6875083,108.6588167,108.89685,112.464125,131.9319833,143.724125
Lebanon,100.8141211,97.0344533,96.27432457,100.4346772,106.5380816,109.7399659,202.870056,516.8238347,1401.65462,4504.1
"Lesotho, Kingdom of",65.5181399,67.62680528,72.08781081,75.29405992,78.87188533,82.96303596,87.09301616,92.3601805,100.0000335,106.3422531
Liberia,54.81007052,59.05713675,64.27439107,72.25703416,89.28333117,113.3597207,132.5806822,142.9426499,153.7962637,169.3211561
Libya,136.5762692,150.7833333,189.7666667,238.7333333,270.175,264.3333333,268.1583333,275.85,288.2916667,295.1333333
Lithuania,100.891975,99.99999167,100.9055167,104.6621167,107.485825,109.9950917,111.3149167,116.5284,139.490375,152.2081583
Luxembourg,99.5275,100,100.2908333,102.0266667,103.5858333,105.3916667,106.2558333,108.9408333,115.8433333,120.1775
"Madagascar, Rep. of",87.79913321,94.29994938,99.99166667,108.6,117.9333333,124.55,129.7833333,137.3266667,148.5333333,163.2
Malawi,38.25884053,46.62503416,56.74784812,63.29847577,71.1602592,77.82857042,84.5416852,92.42954626,111.7972054,143.9833333
Malaysia,110.4833333,112.8083333,115.1666667,119.625,120.6833333,121.4833333,120.1,123.075,127.2333333,130.4
Maldives,93.65274372,94.54544791,95.02054769,97.69772632,97.56742356,97.7821009,96.44270685,96.96653512,99.22890341,102.1337952
Mali,100.8209908,102.2835914,100.4428478,102.2104987,102.5166667,100.8166667,101.2583333,105.2333333,115.3583333,117.7333333
Malta,96.8093759,97.87480981,98.50385392,99.84779567,101.003857,102.662401,103.3179466,104.865538,111.3187076,116.9892465
"Mauritania, Islamic Rep. of",88.53610391,91.41771228,92.76311631,94.85425346,97.76377485,100.0124322,102.3984237,106.0490963,116.1505551,121.9035506
Mauritius,71.89726713,72.82226121,73.53422635,76.23072424,78.68234537,79.00152439,81.04039634,84.30513211,93.38795732,99.9745935
Mexico,85.332965,87.65456833,90.12792417,95.57296417,100.2554183,103.9006667,107.43,113.5419167,122.5075,129.2796667
"Micronesia, Federated States of",101.6447126,101.3416937,100.2903059,100.87425,102.38575,104.3555,104.93425,108.283,114.13975,
"Moldova, Rep. of",44.24855471,48.53015121,51.61633347,55.00764529,56.68265777,59.42484205,61.6627645,64.81151887,83.43659797,94.63129503
Mongolia,75.65898945,79.99854911,80.58515625,84.05147119,89.78735194,96.34278894,100,107.3528124,123.6145693,136.4056896
Montenegro,98.47492709,100,99.72861498,102.1023914,104.7685133,105.1473182,104.8785031,107.4069161,121.4131041,131.8361388
Montserrat,99.6736941,98.5306533,98.28833333,99.46083333,100.7675,99.68833333,97.8002911,100.3516667,103.3425,102.2166667
Morocco,95.80990099,97.30253025,98.89372937,99.640044,101.4374674,101.7452145,102.4635039,103.9,110.8166667,117.5666667
"Mozambique, Rep. of",82.24613465,85.16649723,100.0008333,115.1141667,119.6166667,122.9691667,127.2533333,135.4083333,149.3275,159.9700333
Myanmar,109.3647776,119.7043117,127.9984143,133.8511885,143.0498821,155.67413,,,,
Namibia,108.5851686,112.270566,119.8247835,127.1889748,132.6474054,137.5850647,140.6248448,145.7111123,154.5722147,163.6609599
Nepal,96.12902767,103.6933333,112.8083333,116.9,121.6475,128.4216667,134.91,140.5083333,151.2583333,162.02
"Netherlands, The",99.40333333,100,100.3166667,101.7025,103.435,106.1591667,107.51,110.3866667,121.4266667,126.0875
